# Signal name, FPGA pin, note
HEX00,PIN_U21
HEX01,PIN_V21
HEX02,PIN_W22
HEX03,PIN_W21
HEX04,PIN_Y22
HEX05,PIN_Y21
HEX06,PIN_AA22

HEX10,PIN_AA20
HEX11,PIN_AB20
HEX12,PIN_AA19
HEX13,PIN_AA18
HEX14,PIN_AB18
HEX15,PIN_AA17
HEX16,PIN_U22

HEX20,PIN_Y19
HEX21,PIN_AB17
HEX22,PIN_AA10
HEX23,PIN_Y14
HEX24,PIN_V14
HEX25,PIN_AB22
HEX26,PIN_AB21

HEX30,PIN_Y16
HEX31,PIN_W16
HEX32,PIN_Y17
HEX33,PIN_V16
HEX34,PIN_U17
HEX35,PIN_V18
HEX36,PIN_V19

HEX40,PIN_U20
HEX41,PIN_Y20
HEX42,PIN_V20
HEX43,PIN_U16
HEX44,PIN_U15
HEX45,PIN_Y15
HEX46,PIN_P9

HEX50,PIN_N9
HEX51,PIN_M8
HEX52,PIN_T14
HEX53,PIN_P14
HEX54,PIN_C1
HEX55,PIN_C2
HEX56,PIN_W19
